key,des
net_error,您已掉线，请刷新重新连接！
error_alert,错误提示
l_definite,确定
l_cancel,取消
l_close,关闭
l_save,保存
l_used,使用
l_agree,同意
l_refuse,拒绝
l_buy,购买
l_max,最大
l_help,帮助
l_activating,激活
l_growing,资质
l_skill,技能
l_property,属性
l_pour,注入
l_sell,卖出
l_levelUp_need_exp,升级所需经验:
l_leave_team,离队
l_partner_list,伙伴列表
l_partner_info,伙伴信息
l_need_expend_label,所需消耗:
l_need_renown_label,声望达到:
l_need_money_label,消耗索尼:
l_show,显示
l_online,在线
l_offline,离线
l_offline_time,离线${0}天以上
l_level_label,Lv.${0}
l_gold_label,${0}金币
l_money_label,${0}索尼
l_hour,${0}小时
l_unit_ten_thousand,${0}万
l_vigor_exp,${0}元气经验
l_day,离线不足1天
l_mail,邮件
l_dragonBall,龙珠
l_prepaid,充值
l_spree,礼包
l_money_label,${0}索尼
l_fightingPower,战斗力
l_level_lacking,需要等级${0}以上
l_money_lacking,需要索尼${0}以上
l_experience,经验
l_mobility,行动力:
l_hpLabel,生命:
l_expLabel,经验:
l_uplevelLabel,升级:
l_uplevel,升级
l_research,研发
l_expandPartner,扩展位置
l_shortcutEquip,一键换装
l_openUp,展示
l_goodwillValue,好感度
l_initiativeSkill,主动技能
l_passiveSkill,被动技能
l_studySkill,学习技能
l_equipSkill,装备技能
l_generalSkill,普通技能
l_specialSkill,怒气技能
l_popularity,声望
l_strLabel,力量:
l_spiLabel,精神:
l_agiLabel,敏捷:
l_phyLabel,体魄:
l_regainLabel,恢复:
l_buffLabel,增益:
l_debuffLabel,减益:
l_coercionLabel,控制:
l_strGrowingLabel,力量资质:
l_spiGrowingLabel,精神资质:
l_agiGrowingLabel,敏捷资质:
l_phyGrowingLabel,体魄资质:
l_regainGrowingLabel,恢复资质:
l_buffGrowingLabel,增益资质:
l_debuffGrowingLabel,减益资质:
l_coercionGrowingLabel,控制资质:
l_physicalAttack,物攻:
l_physicalDefense,物防:
l_magicAttack,魔攻:
l_magicDefense,魔防:
l_knowingLabel,会心:
l_blockLabel,格挡:
l_tenacityLabel,韧性:
l_penetrateLabel,识破:
l_employ,招募
l_money,索尼:
l_sense,阅历:
l_gold,金币:
l_quality,品质
l_tempPageDes,临时背包物品到期后会自动丢弃，请及时领取。
l_sort,整理
l_liliangzizhi,力量资质
l_jingshenzizhi,精神资质
l_minjiezizhi,敏捷资质
l_tipozizhi,体魄资质
l_liliang,力量
l_jinsheng,精神
l_minjie,敏捷
l_tipo,体魄
l_shengming,生命
l_huixin,会心
l_gedang,格挡
l_renxing,韧性
l_shipo,识破
l_wuligongji,物理攻击
l_nenglianggongji,能量攻击
l_wulifangyu,物理防御
l_nengliangfangyu,能量防御
l_huixinlv,会心率
l_gedanglv,格挡率
l_renxinglv,韧性率
l_shipolv,识破率
l_baifenwuligongji,百分比物理攻击
l_baifenbinenglianggongji,百分比能量攻击
l_baifenbiwulifangyu,百分比物理防御
l_baifenbinengliangfangyu,百分比能量防御
l_zhenshishanghai,真实伤害值
l_zhenshishanghaibaifenbi,真实伤害百分比
l_jueduijianshangzhi,绝对减伤值
l_jueduijianshangbaifenbi,绝对减伤百分比
l_add,增加
l_feduce,减少
l_used_props,使      用
l_equip_props,装      备
l_unequip_props,脱      下
l_show_props,展      示
l_collect_props,拾      取
l_sell_props,卖      出
l_plot_des,剧情介绍
l_main_boss,主要BOSS
l_pass_crisis_reward,通关奖励
l_about,任务简介
l_guide,任务说明
l_reward,任务奖励
l_mainTask,主线任务
l_branchTask,支线任务
l_gain,获得:
l_rewarded,获得奖励:
l_expendEnergy,消耗行动力:
l_battleWin,击败怪物。
l_victoryCondition,顶住怪物攻击${0}回合不输既可获得胜利。
l_schedule,解锁度
l_cityName,城市名称
l_sence,简历
props_physicalAttack,物理攻击
props_attack,攻击力
props_fightDefense,格斗防御
props_qigondDefense,气功防御
props_psycheDefense,精神防御
props_toughnessPro,韧性
props_insightPro,识破
props_magicAttack,能量攻击
props_physicalDef,物理防御
props_magicDef,能量防御
props_atkPro,攻击力百分比
props_fDefPro,格斗防御百分比
props_qDefPro,气功防御百分比
props_pDefPro,精神防御百分比
props_addDamage,真是伤害值
props_reduceDamage,绝对减伤值
props_hp,生命
props_physique,内劲
props_power,力量
props_spirit,精神
props_flexbility,敏捷
props_agility,筋骨
props_basicPhysique,体魄
props_crit,暴击
props_block,格挡
props_tenacity,韧性
props_toughness,韧性
props_wreck,识破
props_insight,识破
props_critRate1,暴击率
props_critRate,会心率
props_blockRate,格挡率
props_tenacityRate,韧性率
props_wreckRate,识破率
props_physicalAttackRate,物理攻击
props_magicAttackRate,能量攻击
props_physicalDefRate,物理防御
props_magicDefRate,能量防御
props_realHarm,真实伤害
props_realHarmRate,真实伤害
props_damageReduction,绝对减伤
props_damageReductionRate,绝对减伤
props_physcialDefense,物理防御
props_magicDefense,能量防御
props_level,等级
props_quality_1,1星
props_quality_2,2星
props_quality_3,3星
props_quality_4,4星
props_quality_5,5星
props_quality_6,6星
props_type_1,武器
props_type_2,帽子
props_type_3,衣服
props_type_4,鞋子
props_type_5,项链
props_type_6,戒指
props_type_7,披风
props_type_8,元气
props_type_10,碎片
props_type_23,道具
props_type_28,随机宝箱
props_type_11,宝箱
props_type_29,宝箱
props_type_81,特殊
props_type_82,特殊
props_type_label,[类型]:
props_quality_label,[品质]:
props_nedd_label,[需求]:
props_self_label,[属性]:
props_function_label,[功能]:
props_price_label,[价格]:
props_level_label,[等级]:
props_vigor_exp,[经验]:
props_exp_label,[经验]:
level_num_label,${0}级
l_faction_name,公会名称:
l_faction_level,公会等级:
l_faction_top,公会排名:
l_faction_establish,创始人:
l_mainFact_name,会长名字:
l_faction_people_num,公会人数:
l_faction_manifesto,公会宣言
l_faction_bulletin,公会公告
l_input_manifesto,输入宣言内容:
l_input_bulletin,输入公告内容:
l_faction_list,世界公会列表
l_faction_create,创建公会
l_faction_dismiss,解散公会
l_faction_join,申请加入
l_faction_find,公会查找
l_input_faction_name,输入公会名称:
l_input_faction_password,输入公会密码:
l_faction_contribution_top,贡献排名
l_faction_kungfu,武道会排名
l_faction_athletics,竞技场排名
l_faction_member_name,成员名字
l_faction_contribution,贡献值
l_faction_position,职位
l_faction_online,在线状态
l_faction_integral,公会积分:
l_faction_week_integral,本周积分:
l_faction_donate,公会捐献
l_publish_bulletin,发布公告
l_publish_manifesto,发布宣言
l_select_emblem,选择徽记
l_faction_emblem,公会会徽
l_add_people,增加人数
l_handle_apply,处理申请
l_science_research,科技研发
l_current_research,当前研发的科技为:
l_donate_num,捐献份数:
l_donate_num_label,今日还可以捐献${0}份.
l_donate_des,每一份捐献需要50索尼，可获得1点贡献值，并为开发的科技提供1点经验值。
l_set_password,设置密码
l_default_password,初始密码为:123123
l_old_password,原密码:
l_new_password,新密码:
l_confirm_password,确认密码:
l_password_length,密码长度必须为4-12位，请牢记你设置的密码！
l_research_record_info,${0}花费${1}索尼研发了 [${2}]           --${3}
l_change_password_error,两次密码输入不一致
l_old_password_error,原密码错误
l_input_password,密码输入
l_input_password_label,输入公会密码:
l_faction_up,公会升级
l_quit_guild,退出公会
l_quit_guild_alert,你确定要退出公会吗?
l_integral_directions,积分说明
l_disband_info,公会将在${0}天后解散
l_uplevel_need_money,经验提升到${0}级还需要${1}索尼
l_donate_info,"可获得${0}声望,${1}贡献值,${2}公会积分."
l_research_record_label,以下为最近5位成员为公会捐献的记录:
l_memberOffer_1,普通成员
l_memberOffer_2,会长
l_memberOffer_3,副会长
l_look_info,查看资料
l_send_private,发送私聊
l_copy_name,复制名称
l_add_friend,加为好友
l_add_blacklist,加为黑名单
l_talk_all,全部
l_talk_world,世界
l_talk_union,公会
l_talk_private,私聊
l_talk_team,团队
l_talk_gm,GM
l_talk_you,对你说：
l_story_next,点击任意键下一步
l_talk_content_none,输入信息不能为空
l_talk_send_quick,您的发言过快，请休息会
l_talk_user_unonline,当前玩家不在线
l_talk_user_nohave,私聊对象不存在
l_my_friend,我的好友
l_my_backlist,黑名单
l_hide_friend,隐藏离线好友
l_del_friend,删除好友
l_del_blackList,删除黑名单
l_friend_info,好友信息
l_friend_intimate,亲密度：
l_friend_add_attri,属性加成
l_friend_share,分　享
l_friend_send_flower,送　花
l_friend_give,索　要
l_friend_flower_info,每天可以免费送花1次，最多送花10次。
l_friend_add,添加好友
l_del_member,踢出公会
l_set_vice_president,设置副会长
l_cancel_vice_president,取消副会长
l_transfer_president,转让会长
l_friend_name,好友名称：
l_activation_condition,激活条件
l_science_level,科技加成
l_exp_level,经验加成
l_sense_level,阅历加成
l_resource_level,资源加成
l_sign_level,签到加成
l_get_attri,获得属性
l_curr_state,当前阶段：
l_info,说明
l_talent_info,1.天赋可增加主角属性
2.每个天赋点都有声望和等级 限制,
3.开启天赋点需要消耗经验、阅历、金币，且有几率失败,
4.开启特殊的天赋点可获得技能,
5.只有点亮全部天赋点后，才能解锁下一阶段天赋图,
l_get_skill,获得技能
l_talent_reward,激活奖励
l_talent_condition,激活要求
l_role_needlv,人物等级
l_needReputation,需要阅历
l_needExp,需要经验
l_needSenc,需要声望
l_needMoney,需要索尼
l_activate_rate,本次激活成功率：
l_activate_get,激活后获得：
l_skill_name,技能名称
l_activate_cost_10,100%成功消耗10金币
l_activate,激活
l_active_talent,激活天赋
l_invite_tips,"需要等级${0},需要声望${1}。"
l_star_dragon,[${0}星龙]
l_rest,重置
l_need_rest_point,当前可用进阶值点数
l_advance_info,1、每次进阶可随机获得1——5点进阶点；
2、资质重复提升消耗进阶点数越多。,
l_gold_advance,金币进阶
l_advance,进阶
l_next_no_show,下次不再提示
l_alert,提 示
l_current_talks_partners,当前可会谈伙伴
l_talk_num,剩余会谈次数
l_auto_refresh_partner,自动刷新出伙伴
l_refresh_num,今日剩余刷新次数
l_all_refresh,全部刷新
l_refresh,刷新
l_talk_prompt,${0}级开启新会谈窗口并增加会谈次数
l_talk,会谈
l_reward_1,金币+${0}
l_reward_2,声望+${0}
l_reward_3,索尼+${0}
l_reward_4,阅历+${0}
l_reward_5,伙伴+${0}
l_reward_6,道具+${0}
l_need_grasp,领悟需求
l_need_lv,人物等级：
l_need_money,需要金钱：
l_need_exp,需要经验：
l_need_sence,需要阅历：
l_grasp,领 悟
l_add_attri,增加属性
l_grasp_point,当前可用点数：
l_practice_add_attri,当前增加属性
l_practice_next,下一级增加属性
l_strLabel1,力量:
l_spiLabel1,精神:
l_agiLabel1,敏捷:
l_phyLabel1,体魄:
l_hpLabel1,生命:
l_practice_need,修炼需求
l_practice,修炼
l_is_practice,是否进行修炼
l_explore_info,聚气说明：选择一个场景进行聚气，将有概率依次开启高级场景，场景等级越高获得高品质元气的几率越大。
l_explore_transformed,聚气转化
l_intimate_info,亲密度信息
l_gift_bag,礼物背包
l_current_lv,当前等级
l_wufang,物防
l_bifang,物攻
l_mofang,魔防
l_mogong,魔攻
l_next_lv,下一等级
l_wufang1,物防
l_bifang1,物攻
l_mofang1,魔防
l_mogong1,魔攻
l_shengming1,生命
l_lvup_need_exp,升级所需等级：
l_need_i_lv,需要亲密度等级：
l_gold_send,金币赠送
l_intimate_copy,亲密度传承
l_one_send,一键赠送
l_please_select_send_opting,请选择赠送选项：
l_send_type1,普通赠送
l_send,赠送
l_add_intimate,增加亲密度
l_gold_send_type1,${0}金币（亲密度115%）
l_gold_send_type2,${0}金币（亲密度150%）
l_gold_send_type3,${0}金币（亲密度200%）
l_today_free_count,今日剩余免费次数：
l_count,${0}次
l_today_free_gold_count,今日剩余金币次数：
l_vip3_send_3,VIP3每天可额外增加3次免费赠送机会
l_is_cost_10,是否花费10金币为该伙伴直接增加1000亲密度
l_intimate_copy_info,传承说明
l_intimate_copy_info1,1、被传承者获得传承者10%亲密度，传承者亲密度不变。
2、被传承者不能超出传承者的亲密度，多余亲密度将消失。,
3、主角不能参与亲密度传承。,
4、拖动头像到传承栏进行传承。,
l_start_intimate_copy,开始传承
l_inherit_intimate,继承亲密度：
l_item_inherit,道具传承
l_gold_inherit,金币传承
l_need_cost_item,需消耗[${0}]
l_equit_item,装备物品
l_inherit_info,1、蓝色品质以上的装备或装备碎片才能兑换礼物
2、装备品质越高，兑换可获得的礼物品质越高,
3、兑换需要消耗阅历，装备全额返还装备售出索尼。,
l_all_convert,一键兑换
l_cost_yule,花费阅历：
l_get_money,获得金钱：
l_start_convert,开始兑换
l_once_get,一键拾取
l_select_need_convert,选择需要兑换成礼物的装备品质：
l_six_star,四星
l_five_star,五星
l_four_star,四星
props_type_19,礼物
l_go_explore,前往聚气
l_explore_transformed,聚气转化
l_explore_des,聚气说明：选择一个场景进行聚气，将有概率依次开启高级场景，场景等级越高获得高品质元气的几率越大。
l_open_explore_transformed,开启聚气转换
l_open_explore_transformed_des,选中后聚气将自动卖出废弃的元气，自动将低级元气转化为经验。
l_open_explore_stop,开启界王星自动暂停
l_open_explore_stop_des,选中后一键聚气至界王星时将自动暂停，需要手动聚气界王星。
l_explore_retain_des,选择保留元气品质
l_buy_exp_0,600元气经验
l_buy_exp_1,950元气经验
l_buy_exp_2,1350元气经验
l_buy_exp_3,500元气经验
l_buy_exp_4,1000元气经验
l_buy_exp_5,2000元气经验
l_cost_0,100000索尼
l_cost_1,150000索尼
l_cost_2,200000索尼
l_cost_3,25金币
l_cost_4,48金币
l_cost_5,90金币
l_shortcut_pour,一键注入
l_shortcut_merge,一键融合
l_shortcut_merge_alert,当前背包的所有元气将融合到${0}将获得${1}经验!
l_devour_vigor_alert,是否将${0}进行融合，${1}将获得${2}经验！
l_get_props_alert,获得${0}
l_explore_transformed_alert,"获得${0},转换为${1}"
vigor_physique,内劲+${0}
vigor_agility,筋骨+${0}
vigor_hp,生命+${0}
vigor_power,力量+${0}
vigor_spirit,精神+${0}
vigor_basicPhysique,体魄+${0}
vigor_crit,会心+${0}
vigor_block,格挡+${0}
vigor_tenacity,韧性+${0}
vigor_wreck,识破+${0}
vigor_attack,攻击力+${0}
vigor_psycheDefense,精神防御+${0}
vigor_qigondDefense,气功防御+${0}
vigor_fightDefense,格斗防御+${0}
l_gift_name,礼物名称
